time,AVA,AZPS,BANC,BPAT,CISO,CHPD,EPE,IPCO,LDWP,MONT,NEVP,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,WACM,WALC,AECI,AEC,AVRN,CPLE,CPLW,DEAA,DOPD,DUK,EEI,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GVL,GWA,HGMA,HST,IID,ISNE,JEA,LGEE,MISO,NSB,NWMT,NYIS,OVEC,PJM,SCEG,SC,SEC,SEPA,SOCO,SPA,SWPP,TAL,TEC,TIDC,TPWR,TVA,WAUW,WWA,YAD,BCHA,CEN,HQT,NBSO,IESO,MHEB,AESO,SPC,GLHB
2050-01-01 00:00:00,1892.681742326448,2514.148828159417,1807.2982358889492,8608.220888313363,22661.509346297797,1238.8918712472027,1678.2620029530026,2377.557466923036,2870.2653144340456,1864.982208544903,3615.502360721773,5666.011671441383,2909.703673665964,2886.052738946003,1575.0698826250143,5962.427544705975,4288.445354764367,1416.3636490677773,3033.265268134658,1380.134074990806,4607.746782219537,857.5375755282661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 01:00:00,1988.8560029059463,2837.691219222832,1911.935017760479,9041.01396592012,24021.710979990163,1278.4041259292576,1758.5730044145666,2503.611693978348,2926.341755898243,1934.5621070208583,3834.8350034454434,5910.467356503757,3076.3948212686755,3018.7695064984114,1724.0058273442555,6379.423151001937,4570.445004211036,1501.1682922556622,3065.3710038658887,1506.0367345560794,4775.351926511545,889.6041174224073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 02:00:00,2059.3093466577398,3154.163082047872,2084.7641359214545,9421.336763144383,26276.67452409208,1303.0844280788738,1819.4125332181743,2585.4327153796307,3184.847309222799,1953.778971735176,4119.4005227426815,6009.230166547653,3246.922751368379,3185.164909173289,1802.29946628147,6429.69852193264,4768.748186933673,1571.9471346928435,3185.1174301878045,1580.3760306932654,4801.773870191836,934.6232461177668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 03:00:00,2049.670325229187,3178.6838131567224,2137.646105139932,9438.374550274268,27425.623483823983,1296.8943126268612,1822.264531215023,2569.982719282524,3267.007099704696,1923.8642388825997,4162.693166868871,5921.09837294674,3248.461669894803,3198.3099048095405,1782.6257338489938,6270.411737764872,4778.768674938119,1560.6365305312404,3205.7518638127767,1576.276599807312,4750.453810229696,942.0445490259956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 04:00:00,2030.6921202646656,3148.7024597058653,2111.4859517315926,9381.542564447593,27321.34362341864,1294.5732507677972,1810.113288655511,2548.234660213663,3231.2560418562816,1895.2256591924247,4130.249837782605,5827.085174695223,3212.838804951642,3160.669529482682,1764.985147498104,6104.681993664652,4734.553636663934,1534.6589557480354,3165.766784775928,1544.114088600229,4708.016245179004,932.4750470619136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 05:00:00,1992.848658713042,3038.64757308608,2062.842780082163,9193.08694398112,26675.962269676253,1283.2398819266955,1769.9680546082018,2476.215956164574,3165.8170557175363,1835.18362455684,4058.944625603224,5643.799017166275,3138.959115198706,3076.1821471695557,1695.8109003170985,5813.288336715187,4619.198729220612,1495.483693080595,3067.9005260368667,1470.8485226128307,4595.31974046675,907.3554639611356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 06:00:00,1919.4154263915264,2819.3211293197064,1961.4496471124924,8827.055406060306,25499.737364299064,1256.3186759229752,1699.557088145394,2348.3362530046697,3030.818848692519,1751.0262650449588,3916.574328186585,5382.464518903731,3000.0934852764103,2914.3497561491454,1588.4415677532322,5424.414837384662,4402.824876329441,1432.7093201168973,2864.377134735169,1367.0611531637346,4453.0625501941495,876.9730417789937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 07:00:00,1825.086518411492,2608.6628691883,1812.5134601075488,8315.8160310197,23754.63496882077,1219.591107669679,1631.344197075361,2236.7530830246083,2804.110582324245,1683.592461871716,3737.576761107317,5130.375173000291,2832.11315143139,2690.8100993271496,1495.755056412826,5105.775993842458,4110.679944111145,1331.472676687275,2661.362569321804,1288.9286296621044,4386.556049763551,884.0930330470392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 08:00:00,1746.0282476163534,2504.190717721269,1673.0136396221426,7890.353312367198,22004.061346528724,1197.3703327271123,1585.8419939523217,2174.4461335128194,2569.017519709308,1644.5321310823433,3567.9515927920747,4965.294071148523,2670.6032061886617,2486.4117061659163,1438.9700626159877,4911.815056805169,3821.972716345862,1230.533717188642,2542.28489537499,1250.2046121613323,4319.458152564357,863.0177809394736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2050-01-01 09:00:00,1689.3679858739474,2445.5127757260097,1576.7292912378423,7660.066628640186,20740.250393192026,1185.993454119748,1560.2610074511304,2139.4222982298784,2364.130535393386,1625.1023244333644,3447.173047490557,4882.096138792607,2556.9460677397547,2351.1455533771955,1404.302035986162,4827.2616766480205,3630.306737279515,1159.0410754883112,2483.2187924058967,1233.5037503148576,4280.009434262784,856.9837768275524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
