time,AVA,AZPS,BANC,BPAT,CISO,CHPD,EPE,IPCO,LDWP,MONT,NEVP,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,WACM,WALC,AECI,AEC,AVRN,CPLE,CPLW,DEAA,DOPD,DUK,EEI,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GVL,GWA,HGMA,HST,IID,ISNE,JEA,LGEE,MISO,NSB,NWMT,NYIS,OVEC,PJM,SCEG,SC,SEC,SEPA,SOCO,SPA,SWPP,TAL,TEC,TIDC,TPWR,TVA,WAUW,WWA,YAD,BCHA,CEN,HQT,NBSO,IESO,MHEB,AESO,SPC,GLHB
2030-01-01 00:00:00,1710.983214987033,2470.476184481504,1719.2739133415137,7886.213261438967,21837.862420034493,1082.537780451967,1662.9165959324428,2210.4407353362512,2750.076649172526,1760.081301578119,3543.2186100806543,5587.626895139773,2558.044927621626,2617.238696539847,1547.4102093379984,5903.850123405798,3779.210567755817,1280.6189585583766,2751.0544757950483,1338.867952816221,4580.564753433793,864.9636771761437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 01:00:00,1792.3893743625677,2855.1028887862717,1825.60631367528,8212.994788498516,23129.408041672308,1120.1804722128606,1739.7029342590167,2331.0362318638445,2803.213029635131,1826.2995946707345,3763.1893843214807,5826.551760437713,2682.976761619503,2700.561267163428,1691.84806499959,6254.51714147466,3955.8262350159034,1321.5727838216944,2889.7090644866503,1493.5943223294048,4734.855352568103,886.6350892590137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 02:00:00,1839.9908227319036,3143.0974088225817,1982.6756298550583,8481.619228197162,25330.063003862742,1139.9572966340013,1791.657850529598,2403.876782919913,3084.7884670393414,1838.8057004147936,4039.341337667999,5917.193997709461,2798.4302254896647,2826.195026443656,1762.5744099460276,6289.68858682435,4080.041437014024,1360.2957003688025,3108.445363977199,1558.504164712183,4746.534836208584,921.31048934365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 03:00:00,1816.0790652357152,3176.334365485379,2018.6475009714352,8407.624915538732,26339.257849589725,1127.1514923489092,1787.4476521047409,2372.639418743269,3157.80914499478,1804.8980589421976,4068.657772653169,5854.875423853802,2764.584611816092,2804.2680925149434,1739.5779050726594,6136.140995550115,4016.2512528016982,1332.6037163002773,3108.1732197687343,1565.359937787531,4691.6409357865705,924.7045313892532,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 04:00:00,1781.074585282105,3163.9928095902087,1991.8961582006616,8299.55049244207,26179.66986069977,1116.3338935964232,1777.3148419700492,2345.4026617533164,3111.8181603659896,1780.337767670159,4034.632304140997,5776.947343013001,2711.742304544037,2743.355063934151,1728.1850329859635,6012.3434496270775,3917.399715646157,1294.8857791642567,3075.941065197086,1550.9141436132088,4663.636530607977,918.4771976939228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 05:00:00,1733.7805216223055,3107.0227597867884,1955.468713342701,8125.602115898514,25620.11211014959,1100.8306042631607,1749.1973540745362,2297.739281821908,3045.713387083545,1733.274099496039,3979.027619752031,5642.345092622604,2640.328001162642,2667.683891480223,1682.5314242111292,5796.357872693471,3791.036065319206,1250.2094445397192,3019.337081423122,1496.8700586673192,4584.6091992323145,902.1002838032672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 06:00:00,1662.9480547399403,2983.5978863261957,1883.9191287973813,7830.013458936281,24719.45219436407,1074.451580820228,1700.9491221093815,2201.9900800262108,2931.73712280752,1671.7124912385125,3883.678831030528,5436.441646578782,2521.243331879593,2540.8658879979043,1601.5130907869218,5510.862423541506,3597.550615049759,1190.7692661016736,2906.563918915666,1424.7861058877322,4480.808834557634,881.7905208242884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 07:00:00,1564.6007732619262,2826.671230275947,1774.2768864607397,7397.533755887255,23372.069382746373,1036.1920653449906,1647.7645661604984,2106.678259295391,2756.787649935065,1608.7067293289751,3751.010019012428,5210.496953544467,2389.261439210986,2368.2037738468184,1522.9309793942282,5230.228034406198,3365.745675281431,1111.8944182938917,2760.645615499253,1367.7225468617464,4419.94534779315,893.8965171272921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 08:00:00,1482.1583172426194,2720.312853665924,1653.268090325165,6992.417884672453,21877.61318416843,1008.2505865377406,1605.822371003535,2034.284766954016,2562.797209292932,1562.9949855807529,3604.938833099055,5050.139151736941,2232.2548431697205,2181.73335005283,1466.1530228353186,5047.35397998992,3100.156021567341,1025.8255947822954,2652.525055034142,1323.8569632543465,4347.382259085427,879.1668311594178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 09:00:00,1409.1188658448038,2644.922019271948,1553.3042066843263,6707.304867101592,20674.830307702032,990.0616662612744,1577.0002040966,1987.3833819003455,2383.44792357495,1538.1979757984566,3478.2103109528957,4949.807414765765,2105.3359453602275,2028.338464475412,1427.9215928440765,4971.011108746511,2887.988427253244,952.9620433644208,2577.809056313029,1299.23154273528,4303.897354389142,868.3532084391352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
