time,AVA,AZPS,BANC,BPAT,CISO,CHPD,EPE,IPCO,LDWP,MONT,NEVP,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,WACM,WALC,AECI,AEC,AVRN,CPLE,CPLW,DEAA,DOPD,DUK,EEI,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GVL,GWA,HGMA,HST,IID,ISNE,JEA,LGEE,MISO,NSB,NWMT,NYIS,OVEC,PJM,SCEG,SC,SEC,SEPA,SOCO,SPA,SWPP,TAL,TEC,TIDC,TPWR,TVA,WAUW,WWA,YAD,BCHA,CEN,HQT,NBSO,IESO,MHEB,AESO,SPC,GLHB
2030-01-01 00:00:00,1668.6008176258551,2520.973657053476,1755.128502325112,7548.194658885522,23732.005534265478,1076.9272396287895,1695.093482907554,2210.8467745719945,3061.586705289346,1750.4057387740615,3544.2568172296824,5625.792604227309,2530.584892212984,2622.097821317536,1527.8184721066823,5976.385762734203,3619.29140733728,1226.191622415556,2986.61940074204,1381.7625781358793,4555.577074496675,855.5241264773766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 01:00:00,1740.4737421091982,2839.243093004047,1869.04972830546,7861.210761415687,24132.76651146564,1110.1631469069014,1775.830597785689,2335.6929531320093,3056.4691799505085,1816.9901739880345,3770.57431715846,5860.835316111921,2651.550263121369,2713.507090023548,1679.8558607595598,6368.105676924995,3798.554105616469,1269.968650626911,3007.9607055365127,1507.0998619179943,4714.802628429052,887.7444226626766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 02:00:00,1794.2552390043277,3153.6457907874683,2041.2893579515892,8190.628344232393,26122.6531516764,1131.530932371103,1836.5991076865348,2417.513974533292,3255.7888226919185,1836.0572655392536,4057.5845364774855,5958.17191809858,2791.9802136248063,2858.8356682867643,1759.4265648459173,6418.003798719801,3957.762696301926,1321.3948444902571,3194.7196325192567,1580.3760306932654,4740.683953376465,932.8294460542472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 03:00:00,1770.770107474477,3191.616094666833,2093.4344665265107,8161.252553520104,27273.23484680493,1121.8539572502327,1839.30906787786,2397.059206098525,3286.7221496836564,1801.799110956801,4101.924909184441,5868.899158051876,2777.8913350531666,2851.739989488281,1739.3879566565429,6244.381547387908,3935.9620047412222,1305.4396046709337,3219.3549837823334,1581.2378608295812,4684.498324818409,940.2434273295636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 04:00:00,1735.9677766799032,3175.0843139864933,2068.600662276573,8046.029292343584,27174.3974377217,1114.4769488713257,1826.5896740962532,2369.443482909649,3213.130976445068,1768.218016884356,4070.3546872488137,5772.889268520231,2726.6406730119447,2788.075889888194,1721.382494548755,6064.316336123563,3858.1074337838872,1277.1397120588674,3182.970730619778,1553.682234857462,4636.384263072483,930.6885686313062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 05:00:00,1680.3221735694667,3073.306087533174,2022.3154446865267,7820.143367165678,26532.281554772573,1097.2159185931682,1786.0893455351352,2291.9022714534863,3119.9617368164936,1703.8325605188954,4000.446446510453,5590.458835825623,2640.027222660586,2697.8054577365724,1652.5731231246473,5773.677177445894,3721.841465483467,1234.0939196766603,3087.10493069977,1482.897299381198,4521.795592795152,905.5982720621772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 06:00:00,1593.8905521732638,2864.325468974891,1925.196103449487,7425.6647976641725,25366.3973069074,1065.58745203649,1715.678379072327,2157.4645907476806,2984.005972501608,1615.6313256033372,3861.568577696368,5330.835787231764,2492.479483239369,2522.7546670853167,1547.2106072237211,5384.426428979471,3498.1942001202638,1171.0615113986453,2887.782502918082,1382.830875698803,4377.375927591034,875.2963878420711,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 07:00:00,1483.1723710121005,2660.391995228742,1779.207359018772,6899.453300738989,23628.370098147843,1022.2348504123654,1647.891601418865,2037.7702380134804,2758.951871369763,1540.8586374382364,3685.364953499144,5079.887407774114,2326.81437859406,2293.845035413287,1456.713350424705,5069.182827660351,3217.868563169022,1076.017715512649,2689.368992788537,1307.0017948146549,4308.7069522289175,882.5115603379769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 08:00:00,1394.224021573179,2554.885261240903,1641.918120464036,6473.990582086494,21886.50439797117,996.8759017678271,1603.2416251289678,1968.3875758863776,2527.66338879861,1496.1069264510966,3518.00986377556,4915.947272368134,2173.407735550325,2090.6858672174467,1402.3000490477066,4878.617132846142,2944.617336906811,982.8198154435518,2572.2917776607765,1267.746213632926,4241.068436296844,861.5388110911839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 09:00:00,1329.6516969157449,2486.8960765583643,1546.6653769807162,6237.71504960565,20630.312876485423,983.4069073591486,1577.873695336062,1928.0138115528337,2329.2276489047563,1470.8359664412517,3397.929804194553,4831.893615177875,2062.64463360106,1946.3320646825175,1369.091525445474,4796.327247504382,2767.4981827845286,916.7459153438944,2509.4248029354835,1248.0331575943592,4200.808789895952,855.5707016754736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
