time,AVA,AZPS,BANC,BPAT,CISO,CHPD,EPE,IPCO,LDWP,MONT,NEVP,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,WACM,WALC,AECI,AEC,AVRN,CPLE,CPLW,DEAA,DOPD,DUK,EEI,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GVL,GWA,HGMA,HST,IID,ISNE,JEA,LGEE,MISO,NSB,NWMT,NYIS,OVEC,PJM,SCEG,SC,SEC,SEPA,SOCO,SPA,SWPP,TAL,TEC,TIDC,TPWR,TVA,WAUW,WWA,YAD,BCHA,CEN,HQT,NBSO,IESO,MHEB,AESO,SPC,GLHB
2030-01-01 00:00:00,1616.607261327104,2484.2253164398144,1769.8052533596751,7667.971633962116,23442.771294147115,1031.9467499005318,1694.3122749771742,2215.851546909656,2938.120538857338,1760.440540701704,3563.6397959738547,5691.398174860196,2513.799480515068,2654.317670417723,1549.3461417636834,6057.494326952278,3598.3803464801813,1228.771975558735,2857.4462295009416,1358.1546933599625,4598.285954394147,856.4246873255927,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 01:00:00,1688.480185810447,2900.800752992173,1850.333467959112,8024.4068899575395,23900.344315507133,1064.4852852448728,1777.3930136464492,2336.555844914365,2983.889857624328,1822.9811005119996,3790.3065387628862,5929.863786082176,2657.91714342058,2774.642188316212,1701.7484061734588,6454.118479909747,3822.1926961505774,1287.7730873148394,2968.838752615577,1528.7167849435946,4758.322436425844,888.6523051438049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 02:00:00,1737.4579302214538,3234.860518670962,2019.1835386448788,8379.277079978025,26154.21936934463,1084.2839838580885,1840.150052824626,2414.7527208297547,3193.5166230629475,1839.2025019643352,4072.776600898592,6031.193770629097,2801.819937723584,2935.254541152597,1781.1366723813671,6508.5435913353285,4014.131642960187,1351.068905636804,3233.928625372685,1608.5489057840068,4783.392833273937,933.7300069024632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 03:00:00,1712.2773566383833,3273.8654050711343,2067.20222761588,8373.856684281058,27294.46040696116,1075.3043806709898,1844.0673343629016,2392.3995904738063,3241.0367054927774,1802.398203609198,4112.751437852357,5943.632460251078,2791.2039029515163,2948.3995367888465,1760.368312678196,6351.143052847049,4025.970484082639,1343.8868665042864,3261.56466486434,1608.8791722393646,4728.018132815201,941.0927367473936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 04:00:00,1675.7795837905892,3254.747168088772,2040.5999578214069,8278.097181554484,27185.82658549813,1067.5786863251972,1832.768318636532,2361.159721799038,3201.977317171508,1766.1211926009685,4079.435001615452,5849.90450361101,2745.7413139095747,2900.019211761928,1741.815536935061,6188.054052698115,3976.300386454429,1322.5539273788006,3226.580732875121,1580.437606798983,4682.066546000793,931.4793049858374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 05:00:00,1621.5468490578346,3157.624562979094,1992.9883910729577,8058.200105130401,26539.35674149132,1050.6663420139253,1793.68836813065,2279.994364856984,3131.5758353234783,1697.5420876687317,4010.050625167476,5669.185520585089,2660.864285458003,2817.597204391119,1672.8237276325033,5904.959876738409,3855.4904196570815,1283.37866471136,3134.5158047113136,1511.956113940201,4568.28880382278,906.3597218850592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 06:00:00,1538.5061117680723,2948.6439444208117,1892.0373744894207,7662.22432344045,25364.76457151077,1019.3865614241332,1723.703515084413,2143.485743873525,2994.923463062033,1607.9928942852812,3869.60116348224,5409.562471991228,2513.316546036785,2656.5909633476363,1565.819270825536,5517.218124815576,3627.297271498856,1216.4757267185785,2936.593698102962,1411.7125023641536,4422.787901152904,875.9846213358297,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 07:00:00,1433.7219777931805,2744.7104706746622,1742.364326840921,7113.554643688399,23615.308214974782,977.4287036675512,1656.0587752364747,2023.963969495796,2766.7264479809737,1533.6695256094777,3690.603596402973,5158.043609310684,2339.548139192482,2428.507481652536,1472.767883728232,5201.974523496456,3318.787161218489,1112.4006948314598,2739.5805091467537,1336.0606093736578,4353.307997691468,883.0826477051384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 08:00:00,1349.01223348731,2636.6172803848003,1599.9170637812863,6655.153256889837,21866.367328079366,953.9875278408848,1611.408798946577,1955.0990424381057,2536.099631504392,1488.1689488068423,3519.7560780768367,4992.392024236019,2176.3017720499665,2222.043713548985,1416.5302035667405,5013.29507436174,3015.5331085091366,1009.1394175039673,2620.502835199941,1296.2734645109722,4285.399172392955,862.0220388633974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 09:00:00,1287.2656455852418,2566.5589306606457,1499.8010400504895,6400.911178147512,20604.189110139298,942.2619632666352,1586.7510581812894,1916.4510616692728,2338.160141181468,1461.5500303291049,3397.056697043915,4908.053125434313,2059.1717898014904,2083.472960852551,1381.8621769369151,4933.645932971263,2815.684540411754,935.840528603412,2553.234851072732,1274.9657174295323,4245.950454091382,855.9880347514762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 10:00:00,1267.4048556524351,2521.6557019568954,1444.3067202525576,6290.529718439277,19791.96072697636,946.2550109011516,1570.377966163347,1909.5481421093805,2213.1594168022857,1446.3319705981944,3333.614681748663,4866.753432709735,2003.84068416788,1993.455901214342,1364.983503074707,4886.8070555568365,2704.7635524366706,891.0754960891776,2523.8562768813927,1266.893726826802,4222.496857327858,857.0037486244539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 11:00:00,1264.3418206765548,2554.765304545046,1421.8411475889957,6304.933891210539,19329.029012574058,960.9792109701168,1573.6839495814152,1919.5992739888036,2134.933886636218,1447.8249829986623,3306.29547685734,4883.42940132408,1998.4501224842068,1970.5297398405296,1368.944491205728,4912.550540803615,2679.0128101282207,876.2818048320174,2557.8623070964168,1289.4373637388649,4241.042992549056,862.9372135558053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 12:00:00,1284.1355103778562,2673.5663046099776,1423.233534482296,6407.891727957556,19202.4221216411,983.8158643878892,1598.072176500063,1965.338883903747,2103.916957347294,1467.055434746346,3316.5813006710687,4963.002575052124,2021.2722775194325,1989.773407717196,1400.4485228313058,5043.969610895098,2729.0381130524765,884.6386228763057,2675.1157478938394,1352.929036215316,4294.040168245441,884.7856463059856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 13:00:00,1337.407954467175,2937.8123592608767,1483.8260415594589,6713.96645978221,19662.1608040288,1019.0344719209498,1656.5255516803009,2074.81266965092,2159.007356407376,1524.8669510660884,3391.305889539667,5164.50083012812,2132.533393514754,2093.6685404672426,1488.1456259200104,5344.59315830471,2905.254347443823,933.631381146487,2921.3428478145806,1474.441014979424,4403.695688297401,931.6518869420004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
