time,AVA,AZPS,BANC,BPAT,CISO,CHPD,EPE,IPCO,LDWP,MONT,NEVP,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,WACM,WALC,AECI,AEC,AVRN,CPLE,CPLW,DEAA,DOPD,DUK,EEI,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GVL,GWA,HGMA,HST,IID,ISNE,JEA,LGEE,MISO,NSB,NWMT,NYIS,OVEC,PJM,SCEG,SC,SEC,SEPA,SOCO,SPA,SWPP,TAL,TEC,TIDC,TPWR,TVA,WAUW,WWA,YAD,BCHA,CEN,HQT,NBSO,IESO,MHEB,AESO,SPC,GLHB
2030-01-01 00:00:00,2236.573905454595,2494.5711416479026,1805.5297703444128,9719.15233214876,22748.04432231933,1380.9814027531315,1692.1106889915577,2420.529477684329,2787.1714473919687,2005.918755021192,3611.660689258965,5738.177799137559,3195.055672530573,3141.3330818167283,1610.2803931657024,6155.579102285766,5227.624740215709,1632.3392071517787,2814.388505753908,1362.0528270203165,4678.297526860298,858.8481478195724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 01:00:00,2329.074708252116,2879.0745200551864,1910.0191800872308,10089.062497840308,24101.71501442516,1426.421318872243,1770.4331611757905,2550.207850225533,2960.270728717641,2077.4457046174366,3835.5334891659545,5974.646719079407,3319.493887238524,3254.635324911329,1756.1148939513089,6563.897978456072,5437.799441501044,1675.0840941058618,2969.038798497482,1520.566141835582,4842.118340022151,890.7829003212917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 02:00:00,2402.918936110351,3193.994509099015,2079.606111416555,10469.385295064569,26349.05912667613,1462.2595719622018,1829.071103993782,2633.927233547997,3234.637682839281,2095.76393035316,4119.924387033065,6070.842354620277,3469.763561840742,3408.2254029438263,1831.8544025902345,6608.5146123483055,5647.012742931727,1739.412053685098,3222.125918340275,1594.0194985045043,4864.755952572285,935.706847788791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 03:00:00,2396.3882251127006,3232.482104238783,2128.9511495459587,10495.406355325196,27488.755919160445,1469.6682092187316,1830.9288373519653,2629.0045171956262,3312.662060230107,2070.641938719755,4160.946952567595,5980.428628127785,3478.248167966305,3413.108898810797,1809.808977737919,6435.646859288207,5675.216762116261,1740.48714461075,3249.36186606812,1595.2357044281248,4806.948467815592,943.0256478362472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 04:00:00,2381.648625281231,3225.7788575061245,2104.2647174247336,10431.088308556233,27381.21058796184,1477.1103544324678,1818.1384246675968,2615.712797593847,3273.9335049561228,2050.690202489332,4128.154380621074,5887.556396322058,3458.2531001212046,3370.511623622373,1791.803515630131,6267.653620372599,5627.365017606058,1724.3149117716198,3221.9796775913014,1571.0466484354022,4760.726571634745,933.4488242392528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 05:00:00,2340.4142796231663,3132.794582479684,2056.5057785475733,10244.129900278218,26735.829234219447,1472.7507049290814,1777.2119826899077,2542.1408883365184,3205.1861883445213,1990.0490752013493,4055.8014398609257,5701.7030642900845,3399.422400166401,3314.113340524794,1721.5346411784294,5972.110222928256,5521.101875752775,1695.2030263625747,3128.514428254156,1503.628282938536,4643.975426425896,908.2926329739132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 06:00:00,2265.2856052484303,2935.711662910701,1956.5863668650163,9890.076059865069,25559.060083710054,1451.4084743955325,1706.0198082967197,2414.088606820142,3065.22548561022,1913.080827518227,3913.7803853045434,5442.365257307672,3273.2905308425284,3166.32549911216,1613.982870736114,5583.6139727336285,5322.911554041692,1641.459889400001,2931.592551055331,1406.9284292355376,4498.744833122459,877.8882458930343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 07:00:00,2168.978681539639,2741.606723112236,1804.997481543268,9401.29486765132,23808.51523690965,1415.7269640428929,1637.664879421163,2301.9877017706685,2836.035971387304,1846.994982812876,3732.16349677336,5193.128327518704,3122.674415995352,2962.2003667479685,1521.113921517259,5274.406357588878,5064.406154506552,1552.608941057632,2736.3797750362705,1334.1115425434814,4429.805548393902,884.9935938952552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 08:00:00,2087.9423950157448,2644.3766492908658,1664.171311899458,9002.781968391051,22057.941614617605,1395.4239619181976,1592.9438842285035,2239.680752258879,2602.5970740087955,1806.8862398818087,3561.315978447223,5032.325849838645,2979.6863043503254,2773.4988231483653,1465.788430748015,5092.140143764427,4812.065989101434,1466.8940651037503,2622.9033857828035,1297.8681555538435,4363.788888660467,863.9769148509882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2030-01-01 09:00:00,2025.630659762604,2581.043085951968,1563.4657996538162,8782.97576998324,20793.58641614869,1380.7345666254191,1568.0730867549305,2201.895663272401,2402.6725854021565,1787.3066600697316,3435.2987902418754,4946.560742979704,2883.393384899266,2651.8641449789543,1430.9379662397391,5013.622749781645,4654.039542718243,1413.4638954056654,2560.6365487032263,1279.2182268771917,4321.637076694497,857.9282674732425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
